"MALACARDS_CLASS"	"MALACARDS_DISEASE"	"PHENOPEDIA_INDEX"	"PHENOPEDIA_GENE"			
"NONE"	"16p11.2 Microdeletion"		"NO MATCH"			
"NONE"	"Gurrieri Syndrome"		"NO MATCH"			
"NONE"	"Vldlr-Associated Cerebellar Hypoplasia"		"NO MATCH"			
"NONE"	"Alopecia - Intellectual Disability - Hypergonadotropic Hypogonadism"		"NO MATCH"			
"NONE"	"Alport Syndrome, Mental Retardation, Midface Hypoplasia, and Elliptocytosis"		"NO MATCH"			
"NONE"	"Arthrogryposis, Mental Retardation, and Seizures"		"NO MATCH"			
"NONE"	"Duane Anomaly - Myopathy - Scoliosis"		"NO MATCH"			
"NONE"	"Mental Retardation, with or Without Nystagmus"		"NO MATCH"			
"NONE"	"Fitzsimmons Syndrome"		"NO MATCH"			
"NONE"	"Chorea and Dementia"		"NO MATCH"			
"NONE"	"Devriendt Syndrome"		"NO MATCH"			
"NONE"	"Rolandic Epilepsy, Mental Retardation, and Speech Dyspraxia, X-Linked"		"NO MATCH"			
"NONE"	"Wagro Syndrome"		"NO MATCH"			
"NONE"	"Amyotrophic Lateral Sclerosis 6, Autosomal Recessive, with or Without Frontotemporal Dementia"		"NO MATCH"			
"NONE"	"Choroideremia, Deafness, and Mental Retardation"		"NO MATCH"			
"NONE"	"Dextrocardia with Unusual Facies and Microphthalmia"		"NO MATCH"			
"NONE"	"Stratton-Garcia-Young Syndrome"		"NO MATCH"			
"NONE"	"Mental Retardation, Severe, with Spasticity and Tapetoretinal Degeneration"		"NO MATCH"			
"NONE"	"Mental Retardation-Skeletal Dysplasia"		"NO MATCH"			
"NONE"	"Brooks Wisniewski Brown Syndrome"		"NO MATCH"			
"NONE"	"Wittwer Syndrome"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, with Short Stature"		"NO MATCH"			
"NONE"	"Microcephaly, Cortical Malformations, and Mental Retardation"		"NO MATCH"			
"NONE"	"Amyotrophic Lateral Sclerosis 15, with or Without Frontotemporal Dementia"		"NO MATCH"			
"NONE"	"Skeletal Defects, Genital Hypoplasia, and Mental Retardation"		"NO MATCH"			
"NONE"	"Camera Marugo Cohen Syndrome"		"NO MATCH"			
"NONE"	"Chudley Rozdilsky Syndrome"		"NO MATCH"			
"NONE"	"Morillo-Cucci-Passarge Syndrome"		"NO MATCH"			
"NONE"	"Tonoki Syndrome"		"NO MATCH"			
"NONE"	"Walker Dyson Syndrome"		"NO MATCH"			
"NONE"	"Right Temporal Lobar Atrophy"		"NO MATCH"			
"NONE"	"Mental Retardation, Anterior Maxillary Protrusion, and Strabismus"		"NO MATCH"			
"NONE"	"Alcohol-Induced Mental Disorder"		"NO MATCH"			
"NONE"	"Kozlowski-Krajewska Syndrome"		"NO MATCH"			
"NONE"	"Van Allen Myhre Syndrome"		"NO MATCH"			
"NONE"	"Zazam Sheriff Phillips Syndrome"		"NO MATCH"			
"NONE"	"Zerres Rietschel Majewski Syndrome"		"NO MATCH"			
"NONE"	"Karandikar Maria Kamble Syndrome"		"NO MATCH"			
"NONE"	"Pfeiffer Kapferer Syndrome"		"NO MATCH"			
"NONE"	"Kondoh Syndrome"		"NO MATCH"			
"NONE"	"Chromosome 17q12 Duplication Syndrome"		"NO MATCH"			
"NONE"	"Cartwright Nelson Fryns Syndrome"		"NO MATCH"			
"NONE"	"Clark-Baraitser Syndrome"		"NO MATCH"			
"NONE"	"Davis Lafer Syndrome"		"NO MATCH"			
"NONE"	"Intellectual Deficit - Short Stature - Hypertelorism"		"NO MATCH"			
"NONE"	"Nlgn4-Related X-Linked Mental Retardation"		"NO MATCH"			
"NONE"	"Parkinsonism with Dementia of Guadeloupe"		"NO MATCH"			
"NONE"	"Boudhina Yedes Khiari Syndrome"		"NO MATCH"			
"NONE"	"Ichthyosis and Male Hypogonadism"		"NO MATCH"			
"NONE"	"Kennerknecht Vogel Syndrome"		"NO MATCH"			
"NONE"	"Wiedemann Oldigs Oppermann Syndrome"		"NO MATCH"			
"NONE"	"Inclusion Body Myopathy with Early-Onset Paget Disease with or Without Frontotemporal Dementia 2"		"NO MATCH"			
"NONE"	"Microcephaly, Mental Retardation, and Distinctive Facies, with Cardiac and Genitourinary Malformations"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked Syndromic, Abidi Type"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, Syndromic, Chudley-Schwartz Type"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked Syndromic, Shashi Type"		"NO MATCH"			
"NONE"	"Mental Retardation Syndrome, X-Linked, Armfield Type"		"NO MATCH"			
"NONE"	"Waisman Parkinsonism-Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Cubitus Valgus with Mental Retardation and Unusual Facies"		"NO MATCH"			
"NONE"	"Ampola Syndrome"		"NO MATCH"			
"NONE"	"Cantalamessa Baldini Ambrosi Syndrome"		"NO MATCH"			
"NONE"	"Hittner Hirsch Kreh Syndrome"		"NO MATCH"			
"NONE"	"Katsantoni Papadakou Lagoyanni Syndrome"		"NO MATCH"			
"NONE"	"Kosztolanyi Syndrome"		"NO MATCH"			
"NONE"	"Pfeiffer Mayer Syndrome"		"NO MATCH"			
"NONE"	"Piussan Lenaerts Mathieu Syndrome"		"NO MATCH"			
"NONE"	"Upton Young Syndrome"		"NO MATCH"			
"NONE"	"Christian Demyer Franken Syndrome"		"NO MATCH"			
"NONE"	"Christian Johnson Angenieta Syndrome"		"NO MATCH"			
"NONE"	"Ehlers-Danlos Syndrome Beasley Cohen Type"		"NO MATCH"			
"NONE"	"Ramos Arroyo Clark Syndrome"		"NO MATCH"			
"NONE"	"Cantu Sanchez-Corona Fragoso Syndrome"		"NO MATCH"			
"NONE"	"Cantu Sanchez-Corona Hernandez Syndrome"		"NO MATCH"			
"NONE"	"Duker Weiss Siber Syndrome"		"NO MATCH"			
"NONE"	"Feingold Trainer Syndrome"		"NO MATCH"			
"NONE"	"Hordnes Engebretsen Knudtson Syndrome"		"NO MATCH"			
"NONE"	"Koone Rizzo Elias Syndrome"		"NO MATCH"			
"NONE"	"Kozlowski Ouvrier Syndrome"		"NO MATCH"			
"NONE"	"Microdontia Hypodontia Short Stature"		"NO MATCH"			
"NONE"	"Palant Cleft Palate Syndrome"		"NO MATCH"			
"NONE"	"Passos-Bueno Syndrome"		"NO MATCH"			
"NONE"	"Sammartino Decreccio Syndrome"		"NO MATCH"			
"NONE"	"Singh Chhaparwal Dhanda Syndrome"		"NO MATCH"			
"NONE"	"Tsukahara Azuno Kajii Syndrome"		"NO MATCH"			
"NONE"	"Young Hughes Syndrome"		"NO MATCH"			
"NONE"	"Mental Retardation Syndromes, Idiopathic"		"NO MATCH"			
"NONE"	"Dementia with Epilepsy, Mapt-Related"		"NO MATCH"			
"NONE"	"Autistic Disorder"	255	"Autistic Disorder(C0004352)"			
"NONE"	"Gilles De La Tourette Syndrome"		"NO MATCH"			
"NONE"	"Social Phobia"		"NO MATCH"			
"NONE"	"Pathological Gambling"		"NO MATCH"			
"NONE"	"Antisocial Personality Disorder"	171	"Antisocial Personality Disorder(C0003431)"			
"NONE"	"Conduct Disorder"	556	"Conduct Disorder(C0149654)"			
"NONE"	"Alcohol Dependence"		"NO MATCH"			
"NONE"	"Generalized Anxiety Disorder"		"NO MATCH"			
"NONE"	"Postpartum Depression"	653	"Depression, Postpartum(C0221074)"			
"NONE"	"Eating Disorder"	746	"Eating Disorders(C0013473)"			
"NONE"	"Endogenous Depression"		"NO MATCH"			
"NONE"	"Seasonal Affective Disorder"	2313	"Seasonal Affective Disorder(C0085159)"			
"NONE"	"Opiate Dependence"		"NO MATCH"			
"NONE"	"Impotence"	1298	"Impotence(C0021116)"			
"NONE"	"Premature Ejaculation"		"NO MATCH"			
"NONE"	"Cocaine Dependence"		"NO MATCH"			
"NONE"	"Sleep Disorder"	2379	"Sleep Disorders(C0851578)"			
"NONE"	"Schizoaffective Disorder"		"NO MATCH"			
"NONE"	"Asperger Syndrome"	226	"Asperger Syndrome(C0236792)"			
"NONE"	"Pervasive Developmental Disorder"	460	"Child Development Disorders, Pervasive(C0008074)"			
"NONE"	"Obstructive Sleep Apnea"		"NO MATCH"			
"NONE"	"Morphine Dependence"		"NO MATCH"			
"NONE"	"Gender Identity Disorder"	967	"Gender Identity(C0017249)"			
"NONE"	"Cocaine Abuse"		"NO MATCH"			
"NONE"	"Substance Abuse"		"NO MATCH"			
"NONE"	"Transsexualism"		"NO MATCH"			
"NONE"	"Agoraphobia"	76	"Agoraphobia(C0001818)"			
"NONE"	"Drug Dependence"		"NO MATCH"			
"NONE"	"Melancholia"		"NO MATCH"			
"NONE"	"Substance Dependence"		"NO MATCH"			
"NONE"	"Tic Disorder"	2562	"Tourette Syndrome(C0040517)"			
"NONE"	"Nicotine Dependence"		"NO MATCH"			
"NONE"	"Borderline Personality Disorder"	316	"Borderline Personality Disorder(C0006012)"			
"NONE"	"Heroin Dependence"		"NO MATCH"			
"NONE"	"Delusional Disorder"		"NO MATCH"			
"NONE"	"Transient Global Amnesia"	114	"Amnesia, Transient Global(C0338591)"			
"NONE"	"Landau-Kleffner Syndrome"		"NO MATCH"			
"NONE"	"Schizophreniform Disorder"		"NO MATCH"			
"NONE"	"Impulse Control Disorder"	1300	"Impulse Control Disorders(C0021122)"			
"NONE"	"Oppositional Defiant Disorder"		"NO MATCH"			
"NONE"	"Rem Sleep Behavior Disorder"	2214	"REM Sleep Behavior Disorder(C0751772)"			
"NONE"	"Amnestic Disorder"		"NO MATCH"			
"NONE"	"Neonatal Abstinence Syndrome"		"NO MATCH"			
"NONE"	"Withdrawal Disorder"		"NO MATCH"			
"NONE"	"Trichotillomania"		"NO MATCH"			
"NONE"	"Intermittent Explosive Disorder"		"NO MATCH"			
"NONE"	"Atypical Autism"		"NO MATCH"			
"NONE"	"Cannabis Dependence"		"NO MATCH"			
"NONE"	"Sexual Disorder"		"NO MATCH"			
"NONE"	"Schizotypal Personality Disorder"	2304	"Schizotypal Personality Disorder(C0036363)"			
"NONE"	"Adjustment Disorder"	62	"Adjustment Disorders(C0001546)"			
"NONE"	"Cyclothymic Disorder"	608	"Cyclothymic Disorder(C0010598)"			
"NONE"	"Alcoholic Psychosis"		"NO MATCH"			
"NONE"	"Opioid Abuse"		"NO MATCH"			
"NONE"	"Cannabis Abuse"		"NO MATCH"			
"NONE"	"Obsessive-Compulsive Personality Disorder"	1840	"Obsessive-Compulsive Disorder(C0028768)"			
"NONE"	"Retrograde Amnesia"		"NO MATCH"			
"NONE"	"Acute Stress Disorder"		"NO MATCH"			
"NONE"	"Hypoactive Sexual Desire Disorder"		"NO MATCH"			
"NONE"	"Specific Phobia"		"NO MATCH"			
"NONE"	"Phobic Disorder"		"NO MATCH"			
"NONE"	"Body Dysmorphic Disorder"		"NO MATCH"			
"NONE"	"Separation Anxiety Disorder"	177	"Anxiety, Separation(C0003477)"			
"NONE"	"Transvestism"		"NO MATCH"			
"NONE"	"Dyscalculia"		"NO MATCH"			
"NONE"	"Pedophilia"		"NO MATCH"			
"NONE"	"Somatization Disorder"	2395	"Somatoform Disorders(C0037650)"			
"NONE"	"Capgras Syndrome"		"NO MATCH"			
"NONE"	"Factitious Disorder"		"NO MATCH"			
"NONE"	"Narcissistic Personality Disorder"		"NO MATCH"			
"NONE"	"Kleptomania"		"NO MATCH"			
"NONE"	"Dysthymic Disorder"	741	"Dysthymic Disorder(C0013415)"			
"NONE"	"Dissociative Disorder"		"NO MATCH"			
"NONE"	"Exhibitionism"		"NO MATCH"			
"NONE"	"Anterograde Amnesia"		"NO MATCH"			
"NONE"	"Periodic Limb Movement Disorder"		"NO MATCH"			
"NONE"	"Fetishism"		"NO MATCH"			
"NONE"	"Avoidant Personality Disorder"		"NO MATCH"			
"NONE"	"Histrionic Personality Disorder"		"NO MATCH"			
"NONE"	"Dependent Personality Disorder"		"NO MATCH"			
"NONE"	"Dissociative Amnesia"		"NO MATCH"			
"NONE"	"Munchausen by Proxy"		"NO MATCH"			
"NONE"	"Voyeurism"		"NO MATCH"			
"NONE"	"Amphetamine Abuse"		"NO MATCH"			
"NONE"	"Phencyclidine Abuse"		"NO MATCH"			
"NONE"	"Reading Disorder"		"NO MATCH"			
"NONE"	"Cluttering"		"NO MATCH"			
"NONE"	"Pyromania"		"NO MATCH"			
"NONE"	"Schizoid Personality Disorder"	2297	"Schizoid Personality Disorder(C0036339)"			
"NONE"	"Substance-Induced Psychosis"		"NO MATCH"			
"NONE"	"Drug Psychosis"		"NO MATCH"			
"NONE"	"Expressive Language Disorder"		"NO MATCH"			
"NONE"	"Elective Mutism"		"NO MATCH"			
"NONE"	"Sexual Sadism"		"NO MATCH"			
"NONE"	"Animal Phobia"		"NO MATCH"			
"NONE"	"Specific Developmental Disorder"		"NO MATCH"			
"NONE"	"Barbiturate Dependence"		"NO MATCH"			
"NONE"	"Atypical Depressive Disorder"		"NO MATCH"			
"NONE"	"Sexual Masochism"		"NO MATCH"			
"NONE"	"Bestiality"		"NO MATCH"			
"NONE"	"Flying Phobia"		"NO MATCH"			
"NONE"	"Aids Phobia"		"NO MATCH"			
"NONE"	"Transient Tic Disorder"		"NO MATCH"			
"NONE"	"Barbiturate Abuse"		"NO MATCH"			
"NONE"	"Psychologic Vaginismus"		"NO MATCH"			
"NONE"	"Subacute Delirium"		"NO MATCH"			
"NONE"	"Psychosexual Disorder"		"NO MATCH"			
"NONE"	"Nosophobia"		"NO MATCH"			
"NONE"	"Psychologic Dyspareunia"		"NO MATCH"			
"NONE"	"Ego-Dystonic Sexual Orientation"		"NO MATCH"			
"NONE"	"Hallucinogen Dependence"		"NO MATCH"			
"NONE"	"Hallucinogen Abuse"		"NO MATCH"			
"NONE"	"Antidepressant Type Abuse"		"NO MATCH"			
"NONE"	"Paraphilia Disorder"		"NO MATCH"			
"NONE"	"Wagr Syndrome"		"NO MATCH"			
"NONE"	"Dandy-Walker Malformation with Mental Retardation Basal Ganglia Disease and Seizures"		"NO MATCH"			
"NONE"	"Ichthyosis Mental Retardation Dwarfism Renal Impairment"		"NO MATCH"			
"NONE"	"Lubs X-Linked Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Alpha-Thalassemia X-Linked Intellectual Disability Syndrome"		"NO MATCH"			
"NONE"	"Dnmt1-Related Dementia, Deafness, and Sensory Neuropathy"		"NO MATCH"			
"NONE"	"Pick's Disease"	1824	"Niemann-Pick Diseases(C0028064)"			
"NONE"	"Ppm-X Syndrome"		"NO MATCH"			
"NONE"	"Partington Syndrome"		"NO MATCH"			
"NONE"	"Coffin-Lowry Syndrome"	522	"Coffin-Lowry Syndrome(C0265252)"			
"NONE"	"Acrocallosal Syndrome"		"NO MATCH"			
"NONE"	"Cardiocranial Syndrome"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, Syndromic, Martin-Probst Type"		"NO MATCH"			
"NONE"	"Prion Disease"	2111	"Prion Diseases(C0162534)"			
"NONE"	"3-M Syndrome"		"NO MATCH"			
"NONE"	"Northern Epilepsy"		"NO MATCH"			
"NONE"	"Corpus Callosum Agenesis"		"NO MATCH"			
"NONE"	"Lujan Syndrome"		"NO MATCH"			
"NONE"	"Megalencephalic Leukoencephalopathy with Subcortical Cysts 2b, Remitting, with or Without Mental Retardation"		"NO MATCH"			
"NONE"	"Cerebellar Ataxia, Nonprogressive, with Mental Retardation"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked Syndromic, Lubs Type"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked 29 and Others"		"NO MATCH"			
"NONE"	"Lesch-Nyhan Syndrome"		"NO MATCH"			
"NONE"	"Matthew-Wood Syndrome"		"NO MATCH"			
"NONE"	"Melkersson-Rosenthal Syndrome"		"NO MATCH"			
"NONE"	"Phosphoribosylpyrophosphate Synthetase Superactivity"		"NO MATCH"			
"NONE"	"Epilepsy, Focal, with Speech Disorder and with or Without Mental Retardation"		"NO MATCH"			
"NONE"	"Lenz Majewski Hyperostotic Dwarfism"		"NO MATCH"			
"NONE"	"Fine-Lubinsky Syndrome"		"NO MATCH"			
"NONE"	"Sesame Syndrome"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, with Isolated Growth Hormone Deficiency"		"NO MATCH"			
"NONE"	"Richards-Rundle Syndrome"		"NO MATCH"			
"NONE"	"De Barsy Syndrome"		"NO MATCH"			
"NONE"	"Microcephaly-Cardiomyopathy"		"NO MATCH"			
"NONE"	"Osteopenia and Sparse Hair"		"NO MATCH"			
"NONE"	"Lubani Al Saleh Teebi Syndrome"		"NO MATCH"			
"NONE"	"Battaglia Neri Syndrome"		"NO MATCH"			
"NONE"	"Caudal Appendage Deafness"		"NO MATCH"			
"NONE"	"Growth Retardation with Deafness and Mental Retardation Due to Igf1 Deficiency"		"NO MATCH"			
"NONE"	"Mabry Syndrome"		"NO MATCH"			
"NONE"	"Hypertrichosis, Anterior Cervical"		"NO MATCH"			
"NONE"	"Lymphedema, Microcephaly and Chorioretinopathy Syndrome"		"NO MATCH"			
"NONE"	"Reardon Wilson Cavanagh Syndrome"		"NO MATCH"			
"NONE"	"Kifafa Seizure Disorder"		"NO MATCH"			
"NONE"	"Microcephaly Deafness Syndrome"		"NO MATCH"			
"NONE"	"Osteolysis Syndrome Recessive"		"NO MATCH"			
"NONE"	"Obsessive-Compulsive Disorder"	1840	"Obsessive-Compulsive Disorder(C0028768)"			
"NONE"	"Vascular Disease"		"NO MATCH"			
"NONE"	"Anxiety Disorder"		"NO MATCH"			
"NONE"	"Post-Traumatic Stress Disorder"	2444	"Stress Disorders, Post-Traumatic(C0038436)"			
"NONE"	"Bulimia Nervosa"	356	"Bulimia Nervosa(C0596170)"			
"NONE"	"Conversion Disorder"	571	"Conversion Disorder(C0009946)"			
"NONE"	"Kleine-Levin Syndrome"		"NO MATCH"			
"NONE"	"Bruxism"		"NO MATCH"			
"NONE"	"Hypochondriasis"		"NO MATCH"			
"NONE"	"Neurotic Disorder"		"NO MATCH"			
"NONE"	"Kluver-Bucy Syndrome"		"NO MATCH"			
"NONE"	"Depersonalization Disorder"		"NO MATCH"			
"NONE"	"Vasculogenic Impotence"		"NO MATCH"			
"NONE"	"Cancerophobia"		"NO MATCH"			
"NONE"	"Combat Disorder"		"NO MATCH"			
"NONE"	"Cowchock Syndrome"		"NO MATCH"			
"NONE"	"Familial Encephalopathy with Neuroserpin Inclusion Bodies"		"NO MATCH"			
"NONE"	"Kbg Syndrome"		"NO MATCH"			
"NONE"	"Microcephaly with or Without Chorioretinopathy, Lymphedema, or Mental Retardation"		"NO MATCH"			
"NONE"	"Behr Syndrome"		"NO MATCH"			
"NONE"	"Neurocirculatory Asthenia"		"NO MATCH"			
"NONE"	"Wyburn Mason's Syndrome"		"NO MATCH"			
